,args,app,clusters,cores,warps,threads,l2cache,l3cache,driver,perf,instrs,cycles,IPC,ibuffer_stalls,scoreboard_stalls,alu_unit_stalls,lsu_unit_stalls,csr_unit_stalls,fpu_unit_stalls,gpu_unit_stalls,loads,stores,branches,icache_reads,icache_read_misses,icache_hit_ratio_perc,dcache_reads,dcache_writes,dcache_read_misses,dcache_read_hit_ratio_perc,dcache_write_misses,dcache_write_hit_ratio_perc,dcache_bank_stalls,dcache_utilization,dcache_mshr_stalls,smem_reads,smem_writes,smem_bank_stalls,smem_utilization,memory_requests,memory_reads,memory_writes,memory_average_latency
0,,bfs,1,1,1,2,False,False,simx,True,54730,170763,0.320503,23,11537,0,61,0,0,0,4578,140,12527,,41,99,4253,49,73,98,44,10,2048,67,0,126,80,0,100,186,113,73,19
1,,bfs,1,1,1,4,False,False,simx,True,54850,89455,0.613157,23,8218,0,61,0,0,0,4604,152,12539,,41,99,4185,49,73,98,44,10,6144,40,800,110,92,0,100,186,113,73,17
2,,bfs,1,1,1,8,False,False,simx,True,55090,48881,1.127023,23,6594,0,61,0,0,0,4656,176,12563,,41,99,4151,49,73,98,44,10,14336,22,1920,120,116,0,100,186,113,73,16
3,,bfs,1,1,1,16,False,False,simx,True,55567,24761,2.244134,23,2309,0,61,0,0,0,4760,224,12611,,41,98,4134,49,73,98,44,10,6144,40,1088,161,164,0,100,186,113,73,18
4,,bfs,1,1,1,32,False,False,simx,True,55147,23973,2.30038,23,1773,0,61,0,0,0,4616,128,12578,,39,98,4134,49,73,98,44,10,2048,67,0,62,68,0,100,184,111,73,26
5,,bfs,1,1,2,2,False,False,simx,True,54854,86942,0.630926,23,10375,0,76,0,0,0,4604,153,12537,,52,99,4256,49,76,98,44,10,2048,67,0,142,93,0,100,186,113,73,18
6,,bfs,1,1,2,4,False,False,simx,True,55092,48043,1.146723,23,10267,0,76,0,0,0,4656,177,12559,,52,99,4188,49,76,98,44,10,6144,40,368,138,117,0,100,186,113,73,19
7,,bfs,1,1,2,8,False,False,simx,True,55565,24870,2.234218,23,3919,0,76,0,0,0,4760,225,12603,,52,99,4154,49,76,98,44,10,6144,40,498,172,165,0,100,186,113,73,18
8,,bfs,1,1,2,16,False,False,simx,True,55727,24715,2.254785,23,2279,0,4,0,0,0,4760,224,12627,,42,98,4134,49,76,98,44,10,6144,40,0,161,164,0,100,186,113,73,26
9,,bfs,1,1,2,32,False,False,simx,True,55469,24095,2.302096,23,1901,0,4,0,0,0,4616,128,12610,,40,98,4134,49,76,98,44,10,2048,67,0,62,68,0,100,184,111,73,27
10,,bfs,1,1,4,2,False,False,simx,True,55102,46610,1.182193,24,10855,0,180,0,0,0,4656,179,12557,,73,99,4262,49,80,98,44,10,2046,67,0,174,119,0,100,186,113,73,17
11,,bfs,1,1,4,4,False,False,simx,True,55573,27242,2.039975,24,14829,0,180,0,0,0,4760,227,12599,,74,99,4194,49,80,98,44,10,6144,40,152,194,167,0,100,186,113,73,18
12,,bfs,1,1,4,8,False,False,simx,True,55727,25006,2.228545,23,4236,0,8,0,0,0,4760,225,12619,,54,99,4154,49,80,98,44,10,6144,40,0,172,165,0,100,186,113,73,28
13,,bfs,1,1,4,16,False,False,simx,True,56051,24717,2.26771,23,2279,0,0,0,0,0,4760,224,12659,,44,98,4134,49,76,98,44,10,6144,40,0,161,164,0,100,186,113,73,26
14,,bfs,1,1,4,32,False,False,simx,True,56113,24136,2.324867,23,1772,0,0,0,0,0,4616,128,12674,,42,98,4134,49,76,98,44,10,2048,67,0,62,68,0,100,184,111,73,27
15,,bfs,1,1,8,2,False,False,simx,True,55595,40548,1.371091,122,7050,0,48,0,0,0,4760,231,12597,,112,99,4274,49,83,98,44,10,2025,68,0,238,171,0,100,186,113,73,18
16,,bfs,1,1,8,4,False,False,simx,True,55739,27504,2.026578,24,15308,0,20,0,0,0,4760,227,12615,,78,99,4194,49,87,97,44,10,6144,40,0,194,167,0,100,186,113,73,45
17,,bfs,1,1,8,8,False,False,simx,True,56055,25009,2.241393,23,3890,0,0,0,0,0,4760,225,12651,,58,99,4154,49,80,98,44,10,6144,40,0,172,165,0,100,186,113,73,25
18,,bfs,1,1,8,16,False,False,simx,True,56699,24748,2.291054,23,2279,0,0,0,0,0,4760,224,12723,,48,98,4134,49,76,98,44,10,6144,40,0,161,164,0,100,186,113,73,26
19,,bfs,1,1,8,32,False,False,simx,True,57401,24172,2.37469,23,1945,0,0,0,0,0,4616,128,12802,,46,98,4134,49,76,98,44,10,2048,67,0,62,68,0,100,184,111,73,35
20,,bfs,1,1,16,2,False,False,simx,True,55769,40752,1.368497,120,6982,0,0,0,0,0,4760,231,12613,,118,99,4274,49,83,98,44,10,2024,68,0,238,171,0,100,186,113,73,18
21,,bfs,1,1,16,4,False,False,simx,True,56075,27504,2.038794,24,14800,0,0,0,0,0,4760,227,12647,,85,99,4194,49,87,97,44,10,6144,40,0,194,167,0,100,186,113,73,27
22,,bfs,1,1,16,8,False,False,simx,True,56711,24980,2.270256,23,3930,0,0,0,0,0,4760,225,12715,,65,99,4154,49,80,98,44,10,6144,40,0,172,165,0,100,186,113,73,26
23,,bfs,1,1,16,16,False,False,simx,True,57995,24844,2.334367,23,2279,0,0,0,0,0,4760,224,12851,,55,98,4134,49,76,98,44,10,6144,40,0,161,164,0,100,186,113,73,26
24,,bfs,1,1,16,32,False,False,simx,True,59977,24264,2.471851,23,1772,0,0,0,0,0,4616,128,13058,,53,98,4134,49,76,98,44,10,2048,67,0,62,68,0,100,184,111,73,27
25,,bfs,1,1,32,2,False,False,simx,True,56121,41156,1.363616,117,7088,0,0,0,0,0,4760,231,12645,,121,99,4274,49,83,98,44,10,2024,68,0,238,171,0,100,186,113,73,21
26,,bfs,1,1,32,4,False,False,simx,True,56747,27704,2.048332,24,15012,0,0,0,0,0,4760,227,12711,,87,99,4194,49,87,97,44,10,6144,40,0,194,167,0,100,186,113,73,34
27,,bfs,1,1,32,8,False,False,simx,True,58023,25235,2.299307,23,3890,0,0,0,0,0,4760,225,12843,,67,99,4154,49,80,98,44,10,6144,40,0,172,165,0,100,186,113,73,25
28,,bfs,1,1,32,16,False,False,simx,True,60587,25184,2.405773,23,2279,0,0,0,0,0,4760,224,13107,,57,98,4134,49,76,98,44,10,6144,40,0,161,164,0,100,186,113,73,27
29,,bfs,1,1,32,32,False,False,simx,True,65129,24433,2.665616,23,1772,0,0,0,0,0,4616,128,13570,,55,98,4134,49,76,98,44,10,2048,67,0,62,68,0,100,184,111,73,29
30,cora.txt,bfs,1,1,1,2,False,False,simx,True,37134,125090,0.296858,165,8064,0,65,0,0,0,3042,131,8540,,43,99,2834,49,52,98,44,10,1280,69,0,91,71,0,100,167,94,73,19
31,pubmed_diabetes.txt,bfs,1,1,1,2,False,False,simx,True,263388,824604,0.319411,1116,56774,0,224,0,0,0,21655,264,60590,,41,99,20401,49,324,98,44,10,9733,67,0,389,204,0,100,435,362,73,22
32,p2p-Gnutella30.txt,bfs,1,1,1,2,False,False,simx,True,487542,1516026,0.321592,2042,105182,0,382,0,0,0,40204,396,112073,,41,99,37927,49,593,98,44,10,18250,67,0,686,336,0,100,702,629,73,23
33,CA-HepPh.txt,bfs,1,1,1,2,False,False,simx,True,159678,505794,0.315698,671,34861,0,208,0,0,0,13206,203,36668,,43,99,12440,49,203,98,44,10,5888,67,0,253,143,0,100,316,243,73,22
34,Cit-HepPh.txt,bfs,1,1,1,2,False,False,simx,True,458058,1429250,0.320488,1905,99080,0,377,0,0,0,37856,379,105230,,43,99,35726,49,559,98,44,10,17152,67,0,649,319,0,100,670,597,73,23
35,Slashdot0811.txt,bfs,1,1,1,2,False,False,simx,True,1026414,3184381,0.322328,4261,221380,0,711,0,0,0,84702,715,235908,,43,99,79968,49,1236,98,44,10,38656,67,0,1405,655,0,100,1343,1270,73,24
36,cora.txt,bfs,1,1,1,4,False,False,simx,True,37278,69434,0.536884,81,6147,0,62,0,0,0,3076,143,8552,,43,99,2783,49,52,98,44,10,3624,43,795,88,83,0,100,167,94,73,21
37,pubmed_diabetes.txt,bfs,1,1,1,4,False,False,simx,True,263538,438549,0.600932,559,41271,0,204,0,0,0,21689,277,60602,,43,99,20081,49,324,98,44,10,29189,40,4926,307,217,0,100,437,364,73,22
38,p2p-Gnutella30.txt,bfs,1,1,1,4,False,False,simx,True,487662,784049,0.621979,1034,75997,0,346,0,0,0,40230,408,112085,,41,99,37315,49,593,98,44,10,54750,40,9052,518,348,0,100,702,629,73,22
39,CA-HepPh.txt,bfs,1,1,1,4,False,False,simx,True,159822,262435,0.608997,335,24729,0,196,0,0,0,13240,215,36680,,43,99,12236,49,203,98,44,10,17616,41,2872,205,155,0,100,316,243,73,19
40,Cit-HepPh.txt,bfs,1,1,1,4,False,False,simx,True,458202,737907,0.620948,951,71076,0,267,0,0,0,37890,391,105242,,43,99,35148,49,559,98,44,10,51428,40,7772,491,331,0,100,670,597,73,20
41,Slashdot0811.txt,bfs,1,1,1,4,False,False,simx,True,1026558,1648563,0.622699,2133,159277,0,635,0,0,0,84736,727,235920,,43,99,78676,49,1236,98,44,10,115552,40,17855,1037,667,0,100,1343,1270,73,23
42,cora.txt,bfs,1,1,1,8,False,False,simx,True,37516,47408,0.791343,53,3540,0,61,0,0,0,3128,167,8576,,43,99,2766,49,52,98,44,10,3220,46,448,107,107,0,100,167,94,73,18
43,pubmed_diabetes.txt,bfs,1,1,1,8,False,False,simx,True,263826,222657,1.184899,279,20908,0,194,0,0,0,21757,301,60626,,43,99,19911,49,324,98,44,10,28682,41,4432,281,241,0,100,437,364,73,19
44,p2p-Gnutella30.txt,bfs,1,1,1,8,False,False,simx,True,487902,415857,1.173245,530,58960,0,328,0,0,0,40282,432,112109,,41,99,37009,49,593,98,44,10,127750,22,19140,452,372,0,100,702,629,73,17
45,CA-HepPh.txt,bfs,1,1,1,8,False,False,simx,True,160110,133124,1.202713,167,12621,0,190,0,0,0,13308,239,36704,,43,99,12134,49,203,98,44,10,17592,40,2683,199,179,0,100,316,243,73,17
46,Cit-HepPh.txt,bfs,1,1,1,8,False,False,simx,True,458490,732094,0.626272,476,397053,0,243,0,0,0,37958,415,105266,,43,99,34859,49,32811,5,44,10,116950,22,856983,430,355,0,100,32924,32851,73,13
47,Slashdot0811.txt,bfs,1,1,1,8,False,False,simx,True,1026846,828109,1.239989,1148,80525,0,834,0,0,0,84804,751,235944,,43,99,78030,49,1236,98,44,10,115344,40,18408,871,691,0,100,1343,1270,73,23
48,cora.txt,bfs,1,1,1,16,False,False,simx,True,37297,25691,1.451753,38,1997,0,61,0,0,0,3056,118,8559,,39,99,2746,49,52,98,44,10,2344,54,314,50,58,0,100,163,90,73,19
49,pubmed_diabetes.txt,bfs,1,1,1,16,False,False,simx,True,264402,129063,2.048627,151,24758,0,189,0,0,0,21893,349,60674,,43,99,19826,49,325,98,44,10,126735,13,16587,304,289,0,100,438,365,73,15
50,p2p-Gnutella30.txt,bfs,1,1,1,16,False,False,simx,True,488382,200493,2.435905,278,19400,0,319,0,0,0,40386,480,112157,,41,99,36856,49,593,98,44,10,54750,40,9126,455,420,0,100,702,629,73,19
51,CA-HepPh.txt,bfs,1,1,1,16,False,False,simx,True,160686,70791,2.269865,83,8839,0,187,0,0,0,13444,287,36752,,43,99,12083,49,203,98,44,10,33976,26,5056,232,227,0,100,316,243,73,16
52,Cit-HepPh.txt,bfs,1,1,1,16,False,False,simx,True,458970,557246,0.82364,252,378333,0,235,0,0,0,38062,463,105314,,43,99,34723,49,32811,5,44,10,246514,12,1925516,438,403,0,100,32924,32851,73,13
